account_id,name,type,mask,balances_current,balances_available,currency_code
CUST_0184,VISA 19 digit,Checking,8863,1900.34,1900.34,USD
CUST_0120,VISA 19 digit,Checking,5759,2654.66,2654.66,USD
CUST_0178,JCB 16 digit,Checking,7734,4632.69,4632.69,USD
CUST_0045,JCB 16 digit,Checking,9503,9437.86,9437.86,USD
CUST_0026,Diners Club / Carte Blanche,Checking,5638,7329.36,7329.36,USD
CUST_0074,JCB 15 digit,Savings,7837,4923.5,4923.5,USD
CUST_0102,Discover,Checking,472,7403.46,7403.46,USD
CUST_0039,Mastercard,Savings,4585,4858.36,4858.36,USD
CUST_0014,JCB 16 digit,Checking,1657,4931.36,4931.36,USD
CUST_0142,Diners Club / Carte Blanche,Savings,1849,9766.66,9766.66,USD
CUST_0123,Mastercard,Checking,6258,657.09,657.09,USD
CUST_0114,Mastercard,Checking,1214,2780.27,2780.27,USD
CUST_0034,VISA 16 digit,Checking,8899,9733.0,9733.0,USD
CUST_0111,JCB 16 digit,Checking,4662,9978.65,9978.65,USD
CUST_0092,Diners Club / Carte Blanche,Savings,4643,7235.56,7235.56,USD
CUST_0093,Discover,Savings,6326,1343.36,1343.36,USD
CUST_0183,Maestro,Checking,7393,5456.52,5456.52,USD
CUST_0090,Maestro,Checking,2389,8489.06,8489.06,USD
CUST_0108,American Express,Checking,1191,3418.65,3418.65,USD
CUST_0075,JCB 16 digit,Checking,7611,8491.0,8491.0,USD
CUST_0187,American Express,Savings,1466,3456.1,3456.1,USD
CUST_0113,Diners Club / Carte Blanche,Savings,6436,7832.87,7832.87,USD
CUST_0196,Diners Club / Carte Blanche,Savings,3350,9981.91,9981.91,USD
CUST_0105,VISA 13 digit,Checking,5155,6905.19,6905.19,USD
CUST_0106,VISA 19 digit,Savings,2445,1609.48,1609.48,USD
CUST_0086,VISA 19 digit,Savings,1641,4960.56,4960.56,USD
CUST_0127,VISA 19 digit,Savings,818,7700.56,7700.56,USD
CUST_0161,VISA 19 digit,Savings,4471,2962.7,2962.7,USD
CUST_0170,VISA 19 digit,Checking,718,9993.36,9993.36,USD
CUST_0167,VISA 19 digit,Savings,2341,5411.42,5411.42,USD
CUST_0172,VISA 16 digit,Checking,2314,5778.62,5778.62,USD
CUST_0168,Maestro,Checking,4574,8508.63,8508.63,USD
CUST_0128,American Express,Savings,8873,8441.66,8441.66,USD
CUST_0068,VISA 16 digit,Checking,5034,1624.34,1624.34,USD
CUST_0012,Mastercard,Checking,6406,8845.47,8845.47,USD
CUST_0056,Discover,Checking,5472,8571.52,8571.52,USD
CUST_0186,VISA 16 digit,Checking,3408,2743.63,2743.63,USD
CUST_0087,JCB 15 digit,Checking,4016,3129.45,3129.45,USD
CUST_0025,Maestro,Savings,7269,3914.44,3914.44,USD
CUST_0016,JCB 16 digit,Checking,4663,9956.68,9956.68,USD
CUST_0037,Maestro,Checking,4245,1466.08,1466.08,USD
CUST_0125,Discover,Checking,696,3200.28,3200.28,USD
CUST_0099,VISA 16 digit,Checking,3453,6394.1,6394.1,USD
CUST_0013,VISA 16 digit,Savings,1574,8073.91,8073.91,USD
CUST_0060,JCB 16 digit,Checking,3044,805.08,805.08,USD
CUST_0173,Maestro,Checking,1344,4674.44,4674.44,USD
CUST_0081,JCB 16 digit,Checking,8438,6598.85,6598.85,USD
CUST_0069,VISA 16 digit,Savings,9827,3688.09,3688.09,USD
CUST_0158,VISA 19 digit,Savings,9020,3792.35,3792.35,USD
CUST_0009,American Express,Savings,5063,1103.32,1103.32,USD
CUST_0078,Maestro,Savings,4364,9593.09,9593.09,USD
CUST_0055,VISA 13 digit,Checking,4308,4254.8,4254.8,USD
CUST_0152,Maestro,Checking,7214,9391.43,9391.43,USD
CUST_0169,VISA 16 digit,Checking,6223,2110.52,2110.52,USD
CUST_0133,VISA 16 digit,Checking,6122,7126.93,7126.93,USD
CUST_0138,Maestro,Checking,8114,9753.51,9753.51,USD
CUST_0144,JCB 15 digit,Checking,2665,9714.97,9714.97,USD
CUST_0049,Maestro,Savings,1516,892.06,892.06,USD
CUST_0098,Mastercard,Savings,5493,9184.34,9184.34,USD
CUST_0054,VISA 16 digit,Savings,5691,9373.08,9373.08,USD
CUST_0062,JCB 16 digit,Checking,1917,7791.69,7791.69,USD
CUST_0003,JCB 16 digit,Savings,682,2504.65,2504.65,USD
CUST_0019,Diners Club / Carte Blanche,Checking,6879,9642.0,9642.0,USD
CUST_0051,JCB 16 digit,Savings,229,1148.22,1148.22,USD
CUST_0151,JCB 16 digit,Checking,9097,7646.76,7646.76,USD
CUST_0131,Mastercard,Checking,3051,8460.73,8460.73,USD
CUST_0095,JCB 16 digit,Checking,6448,1171.82,1171.82,USD
CUST_0082,VISA 13 digit,Savings,123,4704.08,4704.08,USD
CUST_0179,VISA 16 digit,Savings,5094,6658.35,6658.35,USD
CUST_0040,VISA 13 digit,Checking,5998,1427.52,1427.52,USD
CUST_0177,Maestro,Savings,8830,3389.31,3389.31,USD
CUST_0085,JCB 16 digit,Savings,2704,9407.16,9407.16,USD
CUST_0171,Diners Club / Carte Blanche,Checking,2806,6470.11,6470.11,USD
CUST_0137,Maestro,Savings,1049,4591.05,4591.05,USD
CUST_0032,American Express,Checking,2697,1770.58,1770.58,USD
CUST_0089,Diners Club / Carte Blanche,Checking,3655,1979.69,1979.69,USD
CUST_0015,JCB 15 digit,Checking,5496,7681.15,7681.15,USD
CUST_0141,Maestro,Savings,9272,6720.12,6720.12,USD
CUST_0029,American Express,Savings,2927,2258.55,2258.55,USD
CUST_0080,Diners Club / Carte Blanche,Savings,8136,6073.33,6073.33,USD
CUST_0174,JCB 15 digit,Savings,683,4062.81,4062.81,USD
CUST_0044,JCB 16 digit,Savings,1791,9217.51,9217.51,USD
CUST_0088,American Express,Checking,8212,6009.97,6009.97,USD
CUST_0175,VISA 16 digit,Savings,1846,9866.45,9866.45,USD
CUST_0124,Discover,Checking,8870,8696.91,8696.91,USD
CUST_0061,JCB 16 digit,Checking,1498,1050.76,1050.76,USD
CUST_0200,Maestro,Checking,2178,6848.48,6848.48,USD
CUST_0067,VISA 16 digit,Savings,4677,8095.09,8095.09,USD
CUST_0149,VISA 16 digit,Savings,2165,6747.75,6747.75,USD
CUST_0006,VISA 19 digit,Checking,2151,7687.82,7687.82,USD
CUST_0059,VISA 13 digit,Checking,1705,8531.87,8531.87,USD
CUST_0181,JCB 15 digit,Checking,6334,4214.95,4214.95,USD
CUST_0118,Mastercard,Checking,3597,3133.67,3133.67,USD
CUST_0101,JCB 16 digit,Checking,7156,3603.04,3603.04,USD
CUST_0097,Mastercard,Checking,2713,3238.99,3238.99,USD
CUST_0157,Mastercard,Savings,1376,1464.19,1464.19,USD
CUST_0079,VISA 16 digit,Checking,7707,2503.87,2503.87,USD
CUST_0139,American Express,Savings,1701,2502.25,2502.25,USD
CUST_0166,VISA 13 digit,Savings,3501,380.72,380.72,USD
CUST_0148,JCB 16 digit,Checking,6603,9467.61,9467.61,USD
CUST_0192,Mastercard,Savings,6709,984.57,984.57,USD
CUST_0084,Maestro,Checking,9632,6003.62,6003.62,USD
CUST_0031,VISA 13 digit,Savings,1463,1827.89,1827.89,USD
CUST_0134,VISA 16 digit,Savings,575,6549.5,6549.5,USD
CUST_0117,VISA 13 digit,Savings,2296,8477.95,8477.95,USD
CUST_0153,JCB 16 digit,Checking,3009,1546.46,1546.46,USD
CUST_0119,JCB 16 digit,Savings,7242,3529.41,3529.41,USD
7BD8PmlNy9S5vXPvqbgWTxzwMGkp9EcdbMK8o,Plaid Checking,checking depository,0,110.0,100.0,USD
eoWb631DemtnG5MGWQJKtXvGPo6adeirv7law,Plaid Saving,savings depository,1111,210.0,200.0,USD
QKD9z6mAP3ugeqEeWZvyTjBa1y4n9LfwP3WG8,Plaid CD,cd depository,2222,1000.0,1000.0,USD
ZNWdb6eAzmsEk4akbWvMTgVx3Z1ARQuearDJ5,Plaid Credit Card,credit card credit,3333,410.0,410.0,USD
MADEl6oVdKtk9W49Lo3xsa9JLEjRwBULXe84K,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
1GEPJ5mB79tl7eM7DmLnfr5m8wEGXqCp9ZGqk,Plaid IRA,ira investment,5555,320.76,320.76,USD
LWDgM6owxqtZbnNb14BvTdbAXxRMkVik6lyeQ,Plaid 401k,401k investment,6666,23631.9805,23631.9805,USD
pznagZ9mkWhbEVMEx6ANu5brjnBzx1uplENJg,Plaid Student Loan,student loan,7777,65262.0,65262.0,USD
ornxbQ9odwhLGEPG3DmMTNLMKyVrbaioQknpD,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,USD
g8Wvpdk6lmTGEnME9rAgsmy9wBQbVDUEN4QLJ,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
83EW6AqPy9tZwJkwXo9aTvjkayNedQiW7KVZR,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
E1Da7bvWlkFJkxokPQApfqZmXPQwy6T489PgA,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
83rVqGRwKGh7BEQrErMNSvjLKd1WXAuW1ZvRr,Plaid Checking,checking depository,0,110.0,100.0,USD
E1QEv4rNe4tBEvZGvGLaIqZRgyGejrt4RgZMV,Plaid Saving,savings depository,1111,210.0,200.0,USD
LWkyoZbjlZhxaARKAKwGFdbypNjJn8tkQegmq,Plaid CD,cd depository,2222,1000.0,1000.0,USD
pzBp9VXLwVIo1v9kvk48S5bEdKakRZhprJ9qX,Plaid Credit Card,credit card credit,3333,410.0,410.0,USD
orzN9VLXEVTpyaJkak48UNLkpBxAmdCoMp4PA,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
g8gZkVJA9VIjzm1NmNdVHmy4dZ7JNosEVLjGd,Plaid IRA,ira investment,5555,320.76,320.76,USD
83rVqGRwKGh7BEQrErMNSvjqGKVmPJCW1ZvRE,Plaid 401k,401k investment,6666,23631.9805,23631.9805,USD
E1QEv4rNe4tBEvZGvGLaIqZx9gApDBC4RgZMv,Plaid Student Loan,student loan,7777,65262.0,65262.0,USD
WdxgzG48NGhZn7e676bXS1WMgwjrvAt69Po5d,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,USD
AePbp39QN3ixvbgAbAmlFyAN5aPG3wF9j4Rkn,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
GpMBoPk3ZPInGwkMwM8dCrK5Zy61JaC6BGJLD,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
nKr1wVJpEVsLjEB8E8QvSpdKM7vL3jfAe3PXx,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
DWz3rdP35Bi5klxAKN9Vsl8N6JmZegCdmdeBo,Plaid Checking,checking depository,0,110.0,100.0,USD
VQy8XNb85qF5JMjZDX1gsMRBn164kQIlblkXm,Plaid Saving,savings depository,1111,210.0,200.0,USD
wpXBz8WBjqSVPlg3579ZunLjxB1Qb4CMAM9x9,Plaid CD,cd depository,2222,1000.0,1000.0,USD
5NMZw9vZg5IEo8l9PLzmSBgRe7aEdoiJzJVAl,Plaid Credit Card,credit card credit,3333,410.0,410.0,USD
AgkrlBarRKfZLznP7dV5uyqBJ56Lw7uMRMwlm,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
GqxaGNea5du5yrxWQ7mzsrxglZmQaPuwJw9XL,Plaid IRA,ira investment,5555,320.76,320.76,USD
nPQoX8ZozASKN56JzkoXHp4mAMyZjEFDPDkN7,Plaid 401k,401k investment,6666,23631.9805,23631.9805,USD
blz4amB4JyU4m538BPRZHzynBg8PZKFPgPL1g,Plaid Student Loan,student loan,7777,65262.0,65262.0,USD
mNXpe8QpkAIqmrDjkzGZHW497Bb3DNHkRkjn7,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,USD
ygWxa8GxerfjV8Xr3va7uK8lR5E6zdCMkMdby,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
9eMpv9qpA6Ia6znZolveSkQlD7b9yLiBzB8w4,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
GqxaGNea5du5yrxWQ7mzsrxgyAlBMaiwJw9XG,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
y4zENX7nR7UXKB76ZznycK8re41kjZH43qJnp,Plaid Checking,checking depository,0,110.0,100.0,CAD
9PNm1azEjzSnKAe8E1gyHkQNer64Xjh4GW7yJ,Plaid Saving,savings depository,1111,210.0,200.0,CAD
vx9odwNnJNsXWKylDRepcWJ39gml8Gtqz3Le4,Plaid CD,cd depository,2222,1000.0,1000.0,CAD
RzXpdaKDAKT6XdpVGPNzt7MmxKDQGpsalv6k6,Plaid Credit Card,credit card credit,3333,410.0,410.0,CAD
6aNGQ3qE4qUPgAlJyZ6kce3lG1PEQLu89oEKV,Plaid Money Market,money market depository,4444,43200.0,43200.0,CAD
X4EA7edWRdUdo78QKEZ4cw5JbRzrKeHb6W7jo,Plaid TFSA,tfsa investment,5555,320.76,320.76,CAD
DgjkbLeDGeCxGbVdaremfl8DEkMydbc3wPARy,Plaid RRSP,rrsp investment,6666,23631.9805,23631.9805,CAD
VdGEPj3Dm3SjrPgaNoedfMR8P5e9NEu9m8jgK,Plaid Student Loan,student loan,7777,65262.0,65262.0,CAD
wd9kaGPm1PSgqyZR6D1EHnL3Mdzmo9fPN74Zk,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,CAD
5dGAeBlmalSlGAmV1WnbuBgQvn19rMf5wPaK9,Plaid HSA,hsa depository,9001,6009.0,6009.0,CAD
JnRjlqpDWpHxJlm6Rgref3aLmnP8R6iB4rl69,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,CAD
knjN96lWolHAaMdmblxQh4MAWXNdk1iLQV46e,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,CAD
axyMQ495qoHdAEr9mlx1HWgnm3Bp7DFowzjGM,Plaid Current Account,checking depository,0,110.0,100.0,GBP
4qjK1BGoWMtop63wjG14Szo1G4gAQvC9zZ6EK,Plaid Saving,savings depository,1111,210.0,200.0,GBP
jQXAv1Pl4wt7yxaKBdQLSW1BDkV76AFxdBNby,Plaid Business Current Account,checking depository,2222,1205.0,1100.0,GBP
NkbGJmg5ZAhzWL1AZn9XI4WKwGqvepuodglNb,Plaid Credit Card,credit card credit,3333,410.0,410.0,GBP
PnXqJ9o51mS3ldKqve6zsPMqgx981pt8a9xmE,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,GBP
7z3BodlEn8UAXPLpm5KVUxEoyGJnMBF6PmEVg,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,GBP
bKb6gqA5xvha7zrXERewszywp9ZJjZfmbE3Bp,Plaid Checking,checking depository,0,110.0,100.0,USD
mjlgbPz45dFBK74poGMPhW4PeKDxADugy9ArD,Plaid Saving,savings depository,1111,210.0,200.0,USD
yEPM5pQoVLCgz5D4EaylsK8L1pzqgzI46oDgQ,Plaid CD,cd depository,2222,1000.0,1000.0,USD
9mbdKZLl8QtW1DG47vydTkQK6PyvGyU4xkEKW,Plaid Credit Card,credit card credit,3333,410.0,410.0,USD
voaMAkj1qZFwRqrx15pLhWJLm4MvVMuq6gXwj,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
Rp7Qo9NE8vuLPDe9Kvzgs7MrDkjAejhapwGZ9,Plaid IRA,ira investment,5555,320.76,320.76,USD
6GAed7ZVgjCGZ4RWbmkNHe34Pz7m97S8Dmxzl,Plaid 401k,401k investment,6666,23631.9805,23631.9805,USD
XALgB9Zm8vTkEwP9Az4yHw5ozAg9GghbK9xD6,Plaid Student Loan,student loan,7777,65262.0,65262.0,USD
Dkl1VvmN8AFnr17qW9myCl87M1e95ef3W7XZe,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,USD
VEMar9enWvCvoB6QA1dECMRaezkgDki9gonD1,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
wk4bJo7LKMFBDzbjo9ENhnLNzyb8wbtPZ3lQ8,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
5AW46jQDoPTQWyXN7zbxhBgw1Wdz3dc5Kbp6E,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
xlJDNAq6NotDawz9vPjZUDvBjwm8N3fQzjpRJ,Plaid Checking,checking depository,0,110.0,100.0,USD
dErMyxXRyKTBXjlmwW8VHP7AeLyNvMiXbK5x6,Plaid Saving,savings depository,1111,210.0,200.0,USD
apl6nzXRnAuGrmdBJveVUWgGEz8Qp5HXEwlxP,Plaid CD,cd depository,2222,1000.0,1000.0,USD
4LPnE9bAE4uv3joBQExXizor3e76ARcmvzNw9,Plaid Credit Card,credit card credit,3333,410.0,410.0,USD
NK984oNL4dHd1Zzva5KbH4WNx3DbvZFVGdBqV,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
PzwkP8WLP4tRKv3Bw5JyhPMmwZj48diKeaBrj,Plaid IRA,ira investment,5555,320.76,320.76,USD
jEaLDj5RDdTWaB7jmA5vIW1gb9Pv7EHQ7dz8l,Plaid 401k,401k investment,6666,23631.9805,23631.9805,USD
7qeRG6bgGjtJLmAaBEZ4cxEbpWRdnrfw5PAKV,Plaid Student Loan,student loan,7777,65262.0,65262.0,USD
eEzM9dXR9rTERkPxqjyVUXenamDxp3txbQRlR,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,USD
QBkpjEMRjNfV48x1D5dXhjLAnVdX8oFjgX4WN,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
Z7JEovMkoLsBDwQ5NK1VHgQkAabmvLfxEpADd,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
Mqmgap4naxt8vnryB56wCaBZRzNMdxImWvw8a,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
688qEydPQgC6LmwDnX1lUeGaNr8LP7ikqdjQ9,Plaid Current Account,checking depository,0,110.0,100.0,GBP
X55dWKBM78hZNz6xRV38Hwbma7BezgUJrepkg,Plaid Saving,savings depository,1111,210.0,200.0,GBP
wjjPmQJpaKu1L9dAwx3ZUnM1VRj9zbuMaWAza,Plaid Business Current Account,checking depository,2222,1205.0,1100.0,GBP
D55eDyVWb8heZ9pJ3XAVUlEmrqNbMefdr6mND,Plaid Credit Card,credit card credit,3333,410.0,410.0,GBP
V553DkrQPWheG1487wZgUMP6ryBEekclvKbQr,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,GBP
5gglmy6NeoFnez6p5J9mcBva8pRM1dFJENzX4,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,GBP
Wjvndjx55pfLel7mqdKdI1jqAkoKkEs6QADdw,Plaid Checking,checking depository,0,110.0,100.0,USD
AA8XeAPRR4IdgLbMXaQaHyPpwvjQvBF9xKdbo,Plaid Saving,savings depository,1111,210.0,200.0,USD
G9vXp9M55Rf7kywpbeReIr6pabe3bgf67rQV8,Plaid CD,cd depository,2222,1000.0,1000.0,USD
nladKlrzzbtkBNE7RbrbspvnjxRPxmtAMpnaZ,Plaid Credit Card,credit card credit,3333,410.0,410.0,USD
bkvn1kMJJwfPMmzJj171Sz6wZrjlrnCm6ydRB,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
mRdxqRKkkaFz5m7wAbKbcWRPDvAGv9HgQwWGk,Plaid IRA,ira investment,5555,320.76,320.76,USD
yNL1jN7eeDivZV5A1pzpIKaLzDgVDli48LlJp,Plaid 401k,401k investment,6666,23631.9805,23631.9805,USD
91QXx1zAA5TlE6Dm9q1qckzKyEGpEli49b57J,Plaid Student Loan,student loan,7777,65262.0,65262.0,USD
vdZQ4dNPP3tjDaqQn7R7hW5LMZVwZaHqZ4EL4,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,USD
RdvnrdK55ZtJGWDkwrPrH7Zrjoe4oJSaorB66,Plaid HSA,hsa depository,9001,6009.0,6009.0,USD
6QjDzQq88Ls5yV4zn8Z8seq47d9wd8H8PMyEV,Plaid Cash Management,cash management depository,9002,12060.0,12060.0,USD
X7vJa7d55QtBKewvRmEmTw3ogEGvEBhbvz37o,Plaid Business Credit Card,credit card credit,9999,5020.0,4980.0,USD
jEN6PyxmJ3h97Grk641KTWRZoXnNP1CQ4W4wj,Plaid Checking,checking depository,0,110.0,100.0,USD
7qmNlZw5avtvAlzbekophxKm6Nz4REFwQJQjz,Plaid Saving,savings depository,1111,210.0,200.0,USD
eE3D1AKxP4hGPr6QXBlwsXM79AvkDefxD9DEy,Plaid CD,cd depository,2222,1000.0,1000.0,USD
QB6Amx8GXQSex7bZkLrwUjmvQwBrdLijomozk,Plaid Credit Card,credit card credit,3333,410.0,410.0,USD
Z76AeQ9y8wHkQzrWgdpjsgGrynVPbQsxLqLzg,Plaid Money Market,money market depository,4444,43200.0,43200.0,USD
Mq6VorLNj9t9r7doKAzeTaGKeo9VNBUmx6xzL,Plaid IRA,ira investment,5555,320.76,320.76,USD
1Z5BmNvM4rs7or3mVR6bhrZd9n5vBqiD7j73q,Plaid 401k,401k investment,6666,23631.9805,23631.9805,USD
Ll6woK1N4GHbKya4AkXrTdjyWBbZPVi38j8ol,Plaid Student Loan,student loan,7777,65262.0,65262.0,USD
pwZm9KjRPbUEkG16vKgwh5aEoeb8m1TXgogkK,Plaid Mortgage,mortgage loan,8888,56302.06,56302.06,USD
