user_id,forecast_month,n_months_history,segment,spend_forecast,spend_lower,spend_upper,spend_method,count_forecast,count_lower,count_upper,count_method,avg_amount_forecast,hist_avg_spend,hist_avg_count,last_month_spend,last_month_count,spend_pct_change_vs_hist,spend_direction,spend_vs_last_month_pct,confidence,top_category_forecasts,trend_summary,confidence_note,account_ids,primary_account_id,account_count,per_account_forecasts
USR040Ko,2025-02,20,Single-Tasker,913.63,0.0,2275.73,prophet,2,0,3,prophet,456.81,803.03,2.1,12.88,1,13.8,increasing,6993.4,high,"{""Shopping"": {""forecast"": 2261.45, ""lower"": 1809.16, ""upper"": 2713.73, ""hist_avg"": 1541.92, ""data_points"": 3}, ""Housing and Utilities"": {""forecast"": 858.31, ""lower"": 686.65, ""upper"": 1029.97, ""hist_avg"": 1188.0, ""data_points"": 2}, ""Fitness"": {""forecast"": 577.82, ""lower"": 462.26, ""upper"": 693.38, ""hist_avg"": 398.66, ""data_points"": 5}}",Your spending is forecast to increasing by 14% vs your historical average.,Based on 20 months of data using prophet.,[317820028169473],317820028169473,1,"[{""account_id"": 317820028169473, ""account_name"": ""VISA 16 digit"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 770.49, ""spend_lower"": 616.39, ""spend_upper"": 924.59, ""hist_avg_spend"": 803.03, ""n_months"": 20}]"
USR051Ap,2025-11,25,Healthy Active User,3980.95,2380.76,5462.79,prophet,6,4,8,prophet,663.49,3990.72,5.8,500.0,1,-0.2,stable,696.2,high,"{""Finance"": {""forecast"": 2578.5, ""lower"": 2062.8, ""upper"": 3094.2, ""hist_avg"": 2690.61, ""data_points"": 23}, ""Fitness"": {""forecast"": 578.5, ""lower"": 462.8, ""upper"": 694.2, ""hist_avg"": 578.5, ""data_points"": 24}, ""Food and Dining"": {""forecast"": 500.0, ""lower"": 400.0, ""upper"": 600.0, ""hist_avg"": 521.74, ""data_points"": 23}}",Your spending is forecast to remain stable near your historical average of $3991.,Based on 25 months of data using prophet.,[756028260670192],756028260670192,1,"[{""account_id"": 756028260670192, ""account_name"": ""Plaid Credit Card"", ""account_type"": ""credit card credit"", ""currency_code"": ""USD"", ""spend_forecast"": 2328.5, ""spend_lower"": 1862.8, ""spend_upper"": 2794.2, ""hist_avg_spend"": 3990.72, ""n_months"": 25}]"
USR053xd,2025-01,22,Consistent Weekly,388.36,0.0,1044.27,prophet,2,1,3,prophet,194.18,475.85,2.1,540.69,2,-18.4,decreasing,-28.2,high,"{""Medical/Dental"": {""forecast"": 205.19, ""lower"": 164.15, ""upper"": 246.23, ""hist_avg"": 326.99, ""data_points"": 8}, ""Travel"": {""forecast"": 135.58, ""lower"": 108.47, ""upper"": 162.7, ""hist_avg"": 420.04, ""data_points"": 6}, ""Fitness"": {""forecast"": 864.35, ""lower"": 691.48, ""upper"": 1037.22, ""hist_avg"": 639.5, ""data_points"": 3}}",Your spending is forecast to decreasing by 18% vs your historical average.,Based on 22 months of data using prophet.,[3917434863514659],3917434863514659,1,"[{""account_id"": 3917434863514659, ""account_name"": ""Mastercard"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 437.62, ""spend_lower"": 350.09, ""spend_upper"": 525.14, ""hist_avg_spend"": 475.85, ""n_months"": 22}]"
USR059hG,2025-02,17,Single-Tasker,177.13,0.0,1201.39,prophet,2,0,4,prophet,88.56,777.3,2.7,91.91,1,-77.2,decreasing,92.7,high,"{""Shopping"": {""forecast"": 740.76, ""lower"": 592.61, ""upper"": 888.91, ""hist_avg"": 1240.16, ""data_points"": 4}, ""Gifts"": {""forecast"": 1258.55, ""lower"": 1006.84, ""upper"": 1510.26, ""hist_avg"": 952.05, ""data_points"": 3}, ""Friend Activities"": {""forecast"": 108.14, ""lower"": 86.52, ""upper"": 129.77, ""hist_avg"": 273.54, ""data_points"": 5}}",Your spending is forecast to decreasing by 77% vs your historical average.,Based on 17 months of data using prophet.,[8718671791689150],8718671791689150,1,"[{""account_id"": 8718671791689150, ""account_name"": ""JCB 16 digit"", ""account_type"": ""Checking"", ""currency_code"": ""USD"", ""spend_forecast"": 421.21, ""spend_lower"": 336.97, ""spend_upper"": 505.45, ""hist_avg_spend"": 777.3, ""n_months"": 17}]"
USR062rU,2025-02,25,Consistent Weekly,379.95,0.0,1777.15,prophet,2,0,3,prophet,189.97,675.1,1.9,41.9,1,-43.7,decreasing,806.8,high,"{""Housing and Utilities"": {""forecast"": 2483.46, ""lower"": 1986.77, ""upper"": 2980.15, ""hist_avg"": 2276.21, ""data_points"": 4}, ""Transportation"": {""forecast"": 205.38, ""lower"": 164.31, ""upper"": 246.46, ""hist_avg"": 301.35, ""data_points"": 6}, ""Travel"": {""forecast"": 443.28, ""lower"": 354.63, ""upper"": 531.94, ""hist_avg"": 331.2, ""data_points"": 4}}",Your spending is forecast to decreasing by 44% vs your historical average.,Based on 25 months of data using prophet.,[575793344868387],575793344868387,1,"[{""account_id"": 575793344868387, ""account_name"": ""VISA 19 digit"", ""account_type"": ""Checking"", ""currency_code"": ""USD"", ""spend_forecast"": 350.13, ""spend_lower"": 280.11, ""spend_upper"": 420.16, ""hist_avg_spend"": 675.1, ""n_months"": 25}]"
USR066Hw,2025-02,25,Consistent Weekly,0.0,0.0,51948.4,prophet,2,1,4,prophet,0.0,10468.82,2.4,20.05,1,-100.0,decreasing,-100.0,high,"{""Shopping"": {""forecast"": 1810.3, ""lower"": 1448.24, ""upper"": 2172.36, ""hist_avg"": 40519.1, ""data_points"": 6}, ""Housing and Utilities"": {""forecast"": 2938.99, ""lower"": 2351.19, ""upper"": 3526.79, ""hist_avg"": 2010.87, ""data_points"": 3}, ""Medical/Dental"": {""forecast"": 979.41, ""lower"": 783.53, ""upper"": 1175.3, ""hist_avg"": 702.34, ""data_points"": 6}}",Your spending is forecast to decreasing by 100% vs your historical average.,Based on 25 months of data using prophet.,[666689254107962],666689254107962,1,"[{""account_id"": 666689254107962, ""account_name"": ""VISA 16 digit"", ""account_type"": ""Checking"", ""currency_code"": ""USD"", ""spend_forecast"": 208.08, ""spend_lower"": 166.46, ""spend_upper"": 249.7, ""hist_avg_spend"": 10468.82, ""n_months"": 25}]"
USR068Xr,2024-12,20,Single-Tasker,21399.99,0.0,123989.42,prophet,2,0,3,prophet,10700.0,33817.34,2.2,147.8,1,-36.7,decreasing,14379.0,high,"{""Shopping"": {""forecast"": 36820.86, ""lower"": 29456.69, ""upper"": 44185.03, ""hist_avg"": 110691.43, ""data_points"": 6}, ""Personal Hygiene"": {""forecast"": 938.26, ""lower"": 750.61, ""upper"": 1125.91, ""hist_avg"": 1394.82, ""data_points"": 2}, ""Housing and Utilities"": {""forecast"": 2763.66, ""lower"": 2210.93, ""upper"": 3316.39, ""hist_avg"": 2763.66, ""data_points"": 1}}",Your spending is forecast to decreasing by 37% vs your historical average.,Based on 20 months of data using prophet.,[9854565050152785],9854565050152785,1,"[{""account_id"": 9854565050152785, ""account_name"": ""American Express"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 1137.9, ""spend_lower"": 910.32, ""spend_upper"": 1365.48, ""hist_avg_spend"": 33817.34, ""n_months"": 20}]"
USR074qk,2025-02,21,Single-Tasker,971.37,0.0,3181.91,prophet,2,0,3,prophet,485.69,883.52,1.8,51.41,1,9.9,stable,1789.5,high,"{""Shopping"": {""forecast"": 3615.68, ""lower"": 2892.54, ""upper"": 4338.82, ""hist_avg"": 3137.66, ""data_points"": 4}, ""Medical/Dental"": {""forecast"": 916.86, ""lower"": 733.49, ""upper"": 1100.23, ""hist_avg"": 718.18, ""data_points"": 3}, ""Gifts"": {""forecast"": 178.34, ""lower"": 142.68, ""upper"": 214.01, ""hist_avg"": 201.56, ""data_points"": 5}}",Your spending is forecast to remain stable near your historical average of $884.,Based on 21 months of data using prophet.,[6956164792464098],6956164792464098,1,"[{""account_id"": 6956164792464098, ""account_name"": ""JCB 16 digit"", ""account_type"": ""Checking"", ""currency_code"": ""USD"", ""spend_forecast"": 65.88, ""spend_lower"": 52.7, ""spend_upper"": 79.06, ""hist_avg_spend"": 883.52, ""n_months"": 21}]"
USR082ip,2025-01,20,Consistent Weekly,6753.38,0.0,47249.44,prophet,3,2,5,prophet,2251.13,10558.17,2.5,47.08,3,-36.0,decreasing,14244.5,high,"{""Shopping"": {""forecast"": 24679.18, ""lower"": 19743.34, ""upper"": 29615.02, ""hist_avg"": 39242.43, ""data_points"": 5}, ""Housing and Utilities"": {""forecast"": 1598.55, ""lower"": 1278.84, ""upper"": 1918.26, ""hist_avg"": 2302.42, ""data_points"": 2}, ""Gifts"": {""forecast"": 397.55, ""lower"": 318.04, ""upper"": 477.05, ""hist_avg"": 402.65, ""data_points"": 8}}",Your spending is forecast to decreasing by 36% vs your historical average.,Based on 20 months of data using prophet.,[365317339018220],365317339018220,1,"[{""account_id"": 365317339018220, ""account_name"": ""Discover"", ""account_type"": ""Checking"", ""currency_code"": ""USD"", ""spend_forecast"": 768.18, ""spend_lower"": 614.54, ""spend_upper"": 921.82, ""hist_avg_spend"": 10558.17, ""n_months"": 20}]"
USR086qQ,2025-11,2,Single-Tasker,200.0,160.0,240.0,wma,1,1,1,wma,200.0,200.0,1.0,200.0,1,0.0,stable,0.0,low,"{""Other"": {""forecast"": 200.0, ""lower"": 160.0, ""upper"": 240.0, ""hist_avg"": 200.0, ""data_points"": 2}}",Your spending is forecast to remain stable near your historical average of $200.,Based on 2 months of data using wma. Treat as indicative only.,[7658419913220552],7658419913220552,1,"[{""account_id"": 7658419913220552, ""account_name"": ""Compte \u00e9pargne"", ""account_type"": ""SAVINGS"", ""currency_code"": ""EUR"", ""spend_forecast"": 200.0, ""spend_lower"": 160.0, ""spend_upper"": 240.0, ""hist_avg_spend"": 200.0, ""n_months"": 2}]"
USR087Jg,2025-11,25,Single-Tasker,25.25,19.77,31.04,prophet,2,2,2,prophet,12.62,28.22,2.0,4.22,1,-10.5,decreasing,498.3,high,"{""Finance"": {""forecast"": 16.72, ""lower"": 13.38, ""upper"": 20.06, ""hist_avg"": 28.22, ""data_points"": 25}}",Your spending is forecast to decreasing by 10% vs your historical average.,Based on 25 months of data using prophet.,[9482376481652407],9482376481652407,1,"[{""account_id"": 9482376481652407, ""account_name"": ""Plaid Saving"", ""account_type"": ""savings depository"", ""currency_code"": ""USD"", ""spend_forecast"": 16.72, ""spend_lower"": 13.38, ""spend_upper"": 20.06, ""hist_avg_spend"": 28.22, ""n_months"": 25}]"
USR100df,2025-01,20,Consistent Weekly,0.0,0.0,8904.4,prophet,2,1,4,prophet,0.0,2293.28,2.5,420.38,3,-100.0,decreasing,-100.0,high,"{""Shopping"": {""forecast"": 12752.09, ""lower"": 10201.67, ""upper"": 15302.51, ""hist_avg"": 12638.54, ""data_points"": 3}, ""Travel"": {""forecast"": 651.45, ""lower"": 521.16, ""upper"": 781.74, ""hist_avg"": 449.28, ""data_points"": 4}, ""Housing and Utilities"": {""forecast"": 326.91, ""lower"": 261.53, ""upper"": 392.29, ""hist_avg"": 529.48, ""data_points"": 3}}",Your spending is forecast to decreasing by 100% vs your historical average.,Based on 20 months of data using prophet.,[5542954098207916],5542954098207916,1,"[{""account_id"": 5542954098207916, ""account_name"": ""Discover"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 340.23, ""spend_lower"": 272.18, ""spend_upper"": 408.27, ""hist_avg_spend"": 2293.28, ""n_months"": 20}]"
USR101Ec,2025-10,24,Single-Tasker,5850.0,5850.0,5850.0,prophet,1,1,1,prophet,5850.0,5850.0,1.0,5850.0,1,0.0,stable,0.0,high,"{""Finance"": {""forecast"": 5850.0, ""lower"": 4680.0, ""upper"": 7020.0, ""hist_avg"": 5850.0, ""data_points"": 24}}",Your spending is forecast to remain stable near your historical average of $5850.,Based on 24 months of data using prophet.,[354977089704960],354977089704960,1,"[{""account_id"": 354977089704960, ""account_name"": ""Plaid Money Market"", ""account_type"": ""money market depository"", ""currency_code"": ""USD"", ""spend_forecast"": 5850.0, ""spend_lower"": 4680.0, ""spend_upper"": 7020.0, ""hist_avg_spend"": 5850.0, ""n_months"": 24}]"
USR101Wd,2025-11,25,Single-Tasker,534.4,413.26,660.71,prophet,5,4,7,prophet,106.88,596.34,5.8,89.4,1,-10.4,decreasing,497.8,high,"{""Transportation"": {""forecast"": 512.78, ""lower"": 410.23, ""upper"": 615.34, ""hist_avg"": 511.73, ""data_points"": 24}, ""Groceries"": {""forecast"": 89.4, ""lower"": 71.52, ""upper"": 107.28, ""hist_avg"": 89.4, ""data_points"": 25}, ""Food and Dining"": {""forecast"": 16.33, ""lower"": 13.06, ""upper"": 19.6, ""hist_avg"": 16.33, ""data_points"": 24}}",Your spending is forecast to decreasing by 10% vs your historical average.,Based on 25 months of data using prophet.,[646336222041931],646336222041931,1,"[{""account_id"": 646336222041931, ""account_name"": ""Plaid Checking"", ""account_type"": ""checking depository"", ""currency_code"": ""USD"", ""spend_forecast"": 353.43, ""spend_lower"": 282.74, ""spend_upper"": 424.12, ""hist_avg_spend"": 596.34, ""n_months"": 25}]"
USR102Ib,2025-02,23,Consistent Weekly,37035.27,0.0,123968.69,prophet,2,1,4,prophet,18517.63,22397.16,2.1,140.83,2,65.4,increasing,26197.9,high,"{""Shopping"": {""forecast"": 157570.23, ""lower"": 126056.18, ""upper"": 189084.28, ""hist_avg"": 85117.41, ""data_points"": 6}, ""Gifts"": {""forecast"": 562.45, ""lower"": 449.96, ""upper"": 674.94, ""hist_avg"": 533.06, ""data_points"": 2}, ""Medical/Dental"": {""forecast"": 267.92, ""lower"": 214.33, ""upper"": 321.5, ""hist_avg"": 282.14, ""data_points"": 3}}",Your spending is forecast to increasing by 65% vs your historical average.,Based on 23 months of data using prophet.,[1672339357676178],1672339357676178,1,"[{""account_id"": 1672339357676178, ""account_name"": ""VISA 13 digit"", ""account_type"": ""Checking"", ""currency_code"": ""USD"", ""spend_forecast"": 46452.84, ""spend_lower"": 37162.27, ""spend_upper"": 55743.41, ""hist_avg_spend"": 22397.16, ""n_months"": 23}]"
USR103fp,2025-02,24,Healthy Active User,0.0,0.0,46022.54,prophet,3,2,5,prophet,0.0,13582.43,2.2,48.56,2,-100.0,decreasing,-100.0,high,"{""Shopping"": {""forecast"": 78258.65, ""lower"": 62606.92, ""upper"": 93910.38, ""hist_avg"": 104896.24, ""data_points"": 3}, ""Housing and Utilities"": {""forecast"": 992.11, ""lower"": 793.69, ""upper"": 1190.53, ""hist_avg"": 834.05, ""data_points"": 5}, ""Gifts"": {""forecast"": 834.41, ""lower"": 667.53, ""upper"": 1001.3, ""hist_avg"": 618.94, ""data_points"": 4}}",Your spending is forecast to decreasing by 100% vs your historical average.,Based on 24 months of data using prophet.,[1736786131442588],1736786131442588,1,"[{""account_id"": 1736786131442588, ""account_name"": ""Mastercard"", ""account_type"": ""Checking"", ""currency_code"": ""USD"", ""spend_forecast"": 738.3, ""spend_lower"": 590.64, ""spend_upper"": 885.96, ""hist_avg_spend"": 13582.43, ""n_months"": 24}]"
USR104NK,2025-01,21,Consistent Weekly,19645.05,0.0,58919.4,prophet,2,0,4,prophet,9822.52,7885.01,2.6,1415.31,4,149.1,increasing,1288.0,high,"{""Shopping"": {""forecast"": 49682.92, ""lower"": 39746.33, ""upper"": 59619.5, ""hist_avg"": 38553.88, ""data_points"": 4}, ""Travel"": {""forecast"": 303.2, ""lower"": 242.56, ""upper"": 363.85, ""hist_avg"": 393.27, ""data_points"": 7}, ""Housing and Utilities"": {""forecast"": 1436.35, ""lower"": 1149.08, ""upper"": 1723.62, ""hist_avg"": 1088.25, ""data_points"": 2}}",Your spending is forecast to increasing by 149% vs your historical average.,Based on 21 months of data using prophet.,[1876789797618974],1876789797618974,1,"[{""account_id"": 1876789797618974, ""account_name"": ""Maestro"", ""account_type"": ""Savings"", ""currency_code"": ""USD"", ""spend_forecast"": 766.66, ""spend_lower"": 613.33, ""spend_upper"": 920.0, ""hist_avg_spend"": 7885.01, ""n_months"": 21}]"
