user_id,iso_flag,lof_flag,is_anomaly,iso_score,lof_score,anomaly_score,severity,vel_1d,vel_7d,vel_30d,count_30d,accounts.COUNT(transactions),avg_amt_30d,accounts.MEAN(transactions.amount),accounts.MAX(transactions.amount),accounts.balances_current,days_since_last,accounts.TIME_SINCE_LAST(transactions.date),merchant_diversity,new_merchant_count,task_segment,top_category,top_merchant,primary_spending_trend,account_ids,primary_account_id,account_count
USR491Th,False,False,False,14.73,0.07,7.4,Normal,1,1,2,2.0,38,348.725,5394.025263157894,196369.28,5847.74,0,25833600.0,0.08,3.0,Single-Tasker,Shopping,Mobile App,Surging in Friend Activities,[1643016443890993],1643016443890993,1
USR813QZ,False,False,False,5.11,13.9,9.51,Normal,1,1,3,3.0,44,7470.366666666666,912.270681818182,22279.68,3754.74,0,27388800.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Shopping,[8692017926644744],8692017926644744,1
USR343dk,False,False,False,36.07,2.81,19.44,Normal,1,1,2,2.0,42,2619.04,8908.194523809523,352230.76,8581.51,0,27561600.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Shopping,[5345704589529914],5345704589529914,1
USR291BJ,False,False,False,28.09,6.51,17.3,Normal,1,1,3,3.0,43,58.626666666666665,13707.738372093025,240833.83,8416.34,0,27388800.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Groceries,[1719991586353126],1719991586353126,1
USR335Sx,False,False,False,3.57,0.57,2.07,Normal,1,1,2,2.0,62,1444.575,328.7737096774194,5295.14,9081.43,0,26784000.0,0.05,3.0,Single-Tasker,Housing and Utilities,In-store,Surging in Housing and Utilities,[7371891675043951],7371891675043951,1
USR818nO,False,False,False,27.36,6.62,16.99,Normal,2,3,5,5.0,59,4215.528,2640.141525423729,121426.99,4718.49,0,27388800.0,0.05,3.0,Healthy Active User,Shopping,Online,Surging in Fitness,[8346901314453072],8346901314453072,1
USR375sC,False,False,False,34.46,3.59,19.02,Normal,1,1,2,2.0,39,10.07,11061.831794871794,309905.6,1970.88,0,27216000.0,0.08,3.0,Single-Tasker,Shopping,In-store,Surging in Subscriptions,[6440342709019424],6440342709019424,1
USR271eY,False,False,False,17.08,0.92,9.0,Normal,1,1,3,3.0,50,2587.1633333333334,5957.0122,274630.42,2373.05,0,26352000.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Hobbies,[272675983639227],272675983639227,1
USR253Hy,False,False,False,2.53,1.19,1.86,Normal,1,2,2,2.0,54,71.33,293.2401851851852,3805.35,1280.11,0,25920000.0,0.06,3.0,Consistent Weekly,Housing and Utilities,In-store,Surging in Hobbies,[74344592456871],74344592456871,1
USR944dh,False,False,False,27.6,1.9,14.75,Normal,1,1,2,2.0,47,708.23,7374.609361702127,337617.55,3230.22,0,25574400.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Friend Activities,[1397334799009989],1397334799009989,1
USR418ju,False,False,False,9.65,1.23,5.44,Normal,1,1,4,4.0,57,782.7075,2359.857192982456,112518.54,9831.78,0,25574400.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Gifts,[4990242242398628],4990242242398628,1
USR896kh,False,False,False,0.99,0.03,0.51,Normal,1,1,3,3.0,48,162.25666666666666,249.045,1935.14,7594.49,0,25574400.0,0.06,3.0,Single-Tasker,Gifts,Mobile App,Surging in Subscriptions,[7352397003984129],7352397003984129,1
USR961UU,False,False,False,3.96,2.52,3.24,Normal,1,1,3,3.0,49,57.38999999999999,920.6226530612244,34567.49,6910.58,0,28857600.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies,[7343538510695578],7343538510695578,1
USR324Nf,False,False,False,4.76,0.78,2.77,Normal,1,1,4,4.0,47,33.3325,2691.3106382978726,53345.01,7786.15,0,27216000.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Personal Hygiene,[2169306134303862],2169306134303862,1
USR500hm,False,False,False,29.42,1.77,15.59,Normal,1,2,3,3.0,45,57.373333333333335,7608.732666666666,330956.88,7400.45,0,26006400.0,0.07,3.0,Consistent Weekly,Shopping,In-store,Surging in Friend Activities,[3406664646808167],3406664646808167,1
USR539EC,False,False,False,26.29,1.97,14.13,Normal,1,1,1,1.0,57,2094.25,7960.667894736842,220002.74,3076.92,0,25833600.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Personal Hygiene,[2647051895487886],2647051895487886,1
USR053xd,False,False,False,3.81,1.21,2.51,Normal,1,2,2,2.0,46,270.345,227.5828260869565,1617.1,8402.82,0,26956800.0,0.07,3.0,Consistent Weekly,Medical/Dental,Online,Surging in Friend Activities,[3917434863514659],3917434863514659,1
USR082ip,False,False,False,18.89,3.92,11.4,Normal,2,2,3,3.0,50,15.693333333333332,4223.267400000001,147254.26,4551.7,0,27907200.0,0.06,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Subscriptions,[365317339018220],365317339018220,1
USR721Xc,False,False,False,2.72,0.34,1.53,Normal,1,1,2,2.0,47,45.17,1528.1757446808513,42886.51,8860.2,0,25747200.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies,[975087702556556],975087702556556,1
USR242VN,False,False,False,32.28,2.05,17.17,Normal,1,3,4,4.0,55,184.77750000000003,6009.656181818183,319220.4,1076.77,0,25574400.0,0.05,3.0,Healthy Active User,Shopping,In-store,Surging in Travel,[2941076191576956],2941076191576956,1
USR598GE,False,False,False,13.37,0.87,7.12,Normal,1,1,3,3.0,48,2055.71,5221.460416666667,129871.71,8629.3,0,29203200.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Fitness,[6332365085760707],6332365085760707,1
USR511YG,False,True,False,12.81,20.92,16.87,Normal,1,2,3,3.0,45,15892.656666666668,1316.8835555555556,47534.53,6672.64,0,28771200.0,0.07,3.0,Consistent Weekly,Shopping,In-store,Surging in Shopping,[9192896743314302],9192896743314302,1
USR360hy,False,False,False,0.55,0.27,0.41,Normal,1,1,2,2.0,50,203.3,565.1543999999999,6863.9,1810.65,0,26352000.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Food,[5114885622146222],5114885622146222,1
USR430vt,False,False,False,2.62,1.3,1.96,Normal,1,1,3,3.0,44,1932.62,439.9259090909091,5773.76,7298.6,0,27993600.0,0.07,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Housing and Utilities,[3523255766543907],3523255766543907,1
USR244Uu,False,False,False,2.57,0.68,1.63,Normal,1,1,2,2.0,51,7.25,626.266862745098,10114.45,3430.64,0,28771200.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Subscriptions,[1244941447924031],1244941447924031,1
USR478AY,False,False,False,8.12,0.13,4.13,Normal,1,1,3,3.0,53,1653.1666666666667,3721.589056603774,170583.42,7543.37,0,25833600.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Gifts,[9900112423294341],9900112423294341,1
USR215xz,False,False,False,1.47,0.21,0.84,Normal,1,1,2,2.0,51,88.51,517.8521568627451,5185.76,9179.34,0,26265600.0,0.06,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Hobbies,[5978525337123148],5978525337123148,1
USR247kd,False,False,False,4.66,0.2,2.43,Normal,1,1,2,2.0,56,54.49,1645.6053571428572,84389.3,2039.21,0,25833600.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Groceries,[1786987321212464],1786987321212464,1
USR207DW,False,False,False,13.67,11.85,12.76,Normal,1,1,5,5.0,64,8946.774000000001,976.04984375,42790.8,7305.84,0,25574400.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Shopping,[7810330163594035],7810330163594035,1
USR258us,False,False,False,4.51,0.2,2.36,Normal,1,1,1,1.0,44,68.09,369.6865909090909,5654.33,3418.21,0,26006400.0,0.07,3.0,Single-Tasker,Housing and Utilities,In-store,Surging in Housing and Utilities,[1907263899175261],1907263899175261,1
USR534tr,False,False,False,4.3,0.52,2.41,Normal,1,2,3,3.0,42,1507.1433333333334,1405.0757142857144,48468.04,1283.68,0,25660800.0,0.07,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Personal Hygiene,[1904057589594551],1904057589594551,1
USR139BK,False,False,False,21.0,5.9,13.45,Normal,2,2,5,5.0,57,1142.756,3563.166315789474,100056.35,8607.72,0,27129600.0,0.05,3.0,Consistent Weekly,Shopping,Online,Surging in Housing and Utilities,[6777516850676564],6777516850676564,1
USR465GL,False,False,False,5.32,0.86,3.09,Normal,1,2,5,5.0,57,116.40800000000002,403.5422807017544,5011.25,1364.68,0,25660800.0,0.05,3.0,Consistent Weekly,Housing and Utilities,Online,Surging in Travel,[7187442304170327],7187442304170327,1
USR628KZ,False,False,False,3.52,1.28,2.4,Normal,1,2,3,3.0,46,151.46333333333334,313.449347826087,4596.37,542.38,0,27043200.0,0.07,3.0,Consistent Weekly,Housing and Utilities,In-store,Surging in Travel,[7265932119274561],7265932119274561,1
USR726Lh,False,False,False,14.44,13.92,14.18,Normal,2,2,3,3.0,55,503.7533333333334,204.13163636363635,1487.04,797.38,0,28080000.0,0.05,3.0,Consistent Weekly,Medical/Dental,Mobile App,Surging in Travel,[5758936392022555],5758936392022555,1
USR423EB,False,False,False,4.04,1.68,2.86,Normal,1,1,1,1.0,50,70.93,835.1496,20934.52,4881.4,0,26092800.0,0.06,3.0,Single-Tasker,Shopping,In-store,Surging in Gifts,[2117860040110492],2117860040110492,1
USR380Yw,False,False,False,8.36,1.0,4.68,Normal,1,3,5,5.0,52,373.738,292.62942307692305,2603.85,2346.43,0,26870400.0,0.06,3.0,Healthy Active User,Personal Hygiene,Online,Surging in Shopping,[6465636985218047],6465636985218047,1
USR653TK,False,False,False,12.24,0.1,6.17,Normal,1,1,2,2.0,43,213.92,5193.130697674418,213166.43,5750.4,0,26524800.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Housing and Utilities,[8427394184261092],8427394184261092,1
USR271Yo,False,False,False,3.97,1.57,2.77,Normal,1,1,3,3.0,45,132.65333333333334,344.68266666666665,3452.17,8216.73,0,30153600.0,0.07,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Personal Hygiene,[4915301745302561],4915301745302561,1
USR574tK,False,False,False,5.65,0.25,2.95,Normal,1,1,1,1.0,41,296.2,363.2009756097561,6999.0,8225.0,0,26092800.0,0.07,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Shopping,[7532127441056208],7532127441056208,1
USR572qw,False,False,False,19.82,1.83,10.82,Normal,1,1,4,4.0,58,28.2075,8200.843965517242,221971.79,4706.13,0,26092800.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Subscriptions,[7343201222998493],7343201222998493,1
USR925Mf,False,False,False,5.67,0.9,3.28,Normal,1,2,4,4.0,39,1176.6375,435.3102564102564,3614.0,1241.88,0,26179200.0,0.08,3.0,Consistent Weekly,Shopping,In-store,Surging in Shopping,[3635020399572580],3635020399572580,1
USR201Zu,False,False,False,5.51,0.86,3.18,Normal,1,2,5,5.0,56,216.26,480.0646428571428,7111.15,8376.62,0,26265600.0,0.05,3.0,Consistent Weekly,Housing and Utilities,Mobile App,Surging in Transportation,[5896844080569374],5896844080569374,1
USR425DX,False,False,False,1.86,0.31,1.08,Normal,1,1,3,3.0,61,236.97333333333333,342.8065573770492,3441.79,1496.64,0,25660800.0,0.05,3.0,Single-Tasker,Housing and Utilities,In-store,Surging in Groceries,[5051398843617869],5051398843617869,1
USR388wJ,False,False,False,18.49,0.74,9.61,Normal,1,2,3,3.0,55,501.7033333333333,6776.161454545455,244977.8,5162.39,0,25833600.0,0.05,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Medical/Dental,[3413230594669183],3413230594669183,1
USR068Xr,False,False,False,41.34,8.38,24.86,Normal,1,1,1,1.0,45,147.8,15029.926666666666,241921.72,8473.93,0,31795200.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Food,[9854565050152785],9854565050152785,1
USR223cE,False,False,False,8.71,0.21,4.46,Normal,1,1,3,3.0,55,131.10666666666663,4824.094181818182,170911.33,5764.47,0,26438400.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Groceries,[410674843067860],410674843067860,1
USR031uI,False,False,False,3.44,0.27,1.86,Normal,1,2,3,3.0,55,60.03666666666666,1354.732909090909,61377.57,6108.69,0,26524800.0,0.05,3.0,Consistent Weekly,Shopping,Online,Surging in Gifts,[3145676334558816],3145676334558816,1
USR151Xg,False,False,False,3.95,0.1,2.02,Normal,1,1,2,2.0,55,1616.22,1745.0918181818183,66772.13,6705.29,0,26784000.0,0.05,3.0,Single-Tasker,Shopping,Mobile App,Surging in Housing and Utilities,[4938667654244427],4938667654244427,1
USR013pA,False,False,False,16.04,0.11,8.07,Normal,1,1,4,4.0,58,231.0575,5298.625344827587,220355.95,9264.23,0,27129600.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Fitness,[5276874342658015],5276874342658015,1
USR579jO,False,False,False,32.26,4.7,18.48,Normal,2,2,2,2.0,45,164.42000000000002,7295.836,155475.75,8105.09,0,30758400.0,0.07,3.0,Consistent Weekly,Shopping,Online,Surging in Friend Activities,[2529245753691166],2529245753691166,1
USR621BM,False,False,False,2.06,0.02,1.04,Normal,1,1,3,3.0,44,551.5666666666667,1725.836136363636,64899.6,4513.73,0,26697600.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Personal Hygiene,[2255874088280622],2255874088280622,1
USR592gD,False,False,False,2.77,0.59,1.68,Normal,1,1,4,4.0,50,121.6225,369.9444,6645.43,9922.81,0,26352000.0,0.06,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Subscriptions,[2389275130478223],2389275130478223,1
USR140si,False,False,False,5.67,0.1,2.88,Normal,1,1,4,4.0,41,311.05,1620.7441463414632,54472.59,185.36,0,26179200.0,0.07,3.0,Single-Tasker,Shopping,Online,Surging in Fitness,[3896112433006532],3896112433006532,1
USR596jh,False,False,False,8.41,0.97,4.69,Normal,1,3,4,4.0,44,662.5575000000001,504.6093181818182,14365.92,5472.21,0,26697600.0,0.07,3.0,Healthy Active User,Shopping,Mobile App,Surging in Friend Activities,[3675763762695826],3675763762695826,1
USR691El,False,False,False,23.27,0.62,11.95,Normal,1,2,4,4.0,40,136.6125,6347.749999999999,246679.84,980.22,0,26179200.0,0.08,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Friend Activities,[2958487517890362],2958487517890362,1
USR062rU,False,False,False,2.13,0.6,1.36,Normal,1,2,4,4.0,47,125.7375,359.0955319148936,3715.36,3355.82,0,26352000.0,0.06,3.0,Consistent Weekly,Housing and Utilities,Online,Surging in Hobbies,[575793344868387],575793344868387,1
USR628kq,False,False,False,15.25,0.17,7.71,Normal,1,2,4,4.0,57,665.575,4741.127017543859,211350.01,9484.07,0,25574400.0,0.05,3.0,Consistent Weekly,Shopping,In-store,Surging in Personal Hygiene,[7059873387557783],7059873387557783,1
USR421bB,False,False,False,4.02,1.02,2.52,Normal,1,1,2,2.0,46,609.41,385.41021739130434,6251.28,5395.49,0,29721600.0,0.07,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Travel,[919386953688877],919386953688877,1
USR376hP,False,False,False,2.33,0.34,1.34,Normal,1,1,2,2.0,53,639.77,320.52962264150943,1997.5,552.15,0,25747200.0,0.06,3.0,Single-Tasker,Fitness,Mobile App,Surging in Personal Hygiene,[4984592417211258],4984592417211258,1
USR001YL,False,False,False,9.63,0.24,4.94,Normal,1,2,3,3.0,54,435.2533333333334,3982.410555555556,205093.33,2485.8,0,26524800.0,0.06,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Food,[3220502303885391],3220502303885391,1
USR756hT,False,False,False,24.58,1.72,13.15,Normal,1,1,2,2.0,50,49.015,6657.5744,325127.03,6414.96,0,26697600.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Hobbies,[1746699275281552],1746699275281552,1
USR148zM,False,False,False,1.42,0.37,0.9,Normal,1,1,2,2.0,50,249.515,588.0536,6872.4,835.18,0,25660800.0,0.06,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Groceries,[5398053233543317],5398053233543317,1
USR496UB,False,False,False,14.88,1.91,8.39,Normal,1,2,7,7.0,61,1193.427142857143,479.3203278688525,6837.61,937.16,0,28598400.0,0.05,3.0,Consistent Weekly,Housing and Utilities,Online,Surging in Personal Hygiene,[27434923585791],27434923585791,1
USR739ei,False,False,False,8.84,2.41,5.63,Normal,1,1,6,6.0,45,429.7166666666667,764.2855555555556,6673.06,6108.44,0,26438400.0,0.07,3.0,Single-Tasker,Housing and Utilities,Mobile App,Surging in Shopping,[8321704044270430],8321704044270430,1
USR461nX,False,False,False,13.94,0.19,7.07,Normal,1,1,4,4.0,49,1235.6800000000003,5129.616530612246,238038.57,3501.81,0,25920000.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Food,[6517352269108317],6517352269108317,1
USR313nW,False,False,False,4.04,1.94,2.99,Normal,1,1,3,3.0,52,711.9766666666666,342.46211538461534,2127.33,4204.18,0,30499200.0,0.06,3.0,Single-Tasker,Personal Hygiene,Mobile App,Surging in Personal Hygiene,[8429259675435165],8429259675435165,1
USR626gZ,False,False,False,3.02,0.37,1.7,Normal,1,1,3,3.0,52,347.18666666666667,2066.7850000000003,90668.52,4762.86,0,26265600.0,0.06,3.0,Single-Tasker,Shopping,Online,Surging in Friend Activities,[9371972853446753],9371972853446753,1
USR746kv,False,False,False,3.27,1.34,2.3,Normal,1,2,3,3.0,44,33.086666666666666,742.8318181818181,21481.8,7907.84,0,28339200.0,0.07,3.0,Consistent Weekly,Shopping,Mobile App,Surging in Hobbies,[1782369306730165],1782369306730165,1
USR632NW,False,False,False,8.03,0.53,4.28,Normal,1,1,5,5.0,54,321.65,1840.292777777778,88286.88,9169.96,0,26006400.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Hobbies,[760720797584149],760720797584149,1
USR765RD,False,False,False,12.78,1.48,7.13,Normal,1,3,6,6.0,55,236.71666666666667,264.2207272727273,3978.4,7564.59,0,26006400.0,0.05,3.0,Healthy Active User,Housing and Utilities,Online,Surging in Gifts,[3327790754525823],3327790754525823,1
USR756uA,False,False,False,2.15,0.14,1.15,Normal,1,1,2,2.0,57,75.025,389.5966666666666,3824.22,8678.7,0,26179200.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Housing and Utilities,[3606395902696650],3606395902696650,1
USR619km,False,False,False,9.01,2.14,5.57,Normal,1,3,3,3.0,51,821.6666666666666,1847.38431372549,45856.74,2295.47,0,28425600.0,0.06,3.0,Healthy Active User,Shopping,Mobile App,Surging in Travel,[5856856664492208],5856856664492208,1
USR040Ko,False,False,False,2.02,0.37,1.2,Normal,1,1,3,3.0,43,23.666666666666668,373.50116279069766,4421.08,9826.42,0,26524800.0,0.07,3.0,Single-Tasker,Shopping,In-store,Surging in Hobbies,[317820028169473],317820028169473,1
USR268Dy,False,False,False,11.74,0.16,5.95,Normal,1,1,2,2.0,47,161.18,4776.465531914893,190283.81,1900.34,0,28598400.0,0.06,3.0,Single-Tasker,Shopping,Mobile App,Surging in Gifts,[575808430645435],575808430645435,1
USR708ic,False,False,False,3.44,0.88,2.16,Normal,1,1,4,4.0,61,1046.065,432.47754098360656,4108.66,2654.66,0,25747200.0,0.05,3.0,Single-Tasker,Shopping,In-store,Surging in Shopping,[2484857538967064],2484857538967064,1
USR737zJ,False,False,False,1.17,0.13,0.65,Normal,1,1,2,2.0,55,27.935,281.21145454545456,4926.71,4632.69,0,26006400.0,0.05,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Transportation,[1703601111473812],1703601111473812,1
USR074qk,False,False,False,4.44,0.45,2.44,Normal,1,1,2,2.0,38,40.675,488.2597368421052,7001.64,9437.86,0,25574400.0,0.08,3.0,Single-Tasker,Shopping,In-store,Surging in Personal Hygiene,[6956164792464098],6956164792464098,1
USR552iz,False,False,False,5.52,0.33,2.92,Normal,1,1,2,2.0,46,154.17,2282.4919565217388,80965.09,7329.36,0,28080000.0,0.07,3.0,Single-Tasker,Shopping,Mobile App,Surging in Fitness,[3594487387849143],3594487387849143,1
USR383GT,False,False,False,4.82,0.15,2.49,Normal,1,1,1,1.0,57,27.96,435.191403508772,6842.24,4923.5,0,26611200.0,0.05,3.0,Single-Tasker,Housing and Utilities,Online,Surging in Groceries,[4484382288834839],4484382288834839,1
USR605Px,False,False,False,9.57,0.16,4.87,Normal,1,2,2,2.0,47,188.1,3655.0165957446807,166202.6,7403.46,0,26265600.0,0.06,3.0,Consistent Weekly,Shopping,Online,Surging in Fitness,[6345434857837874],6345434857837874,1
USR494kt,False,False,False,34.81,4.93,19.87,Normal,1,1,2,2.0,40,25.195,12459.1465,276733.01,4858.36,0,27993600.0,0.08,3.0,Single-Tasker,Shopping,Mobile App,Surging in Subscriptions,[7037069116667881],7037069116667881,1
USR774PR,False,False,False,7.25,0.1,3.67,Normal,1,1,1,1.0,61,78.63,1326.2498360655738,59697.35,4931.36,0,25920000.0,0.05,3.0,Single-Tasker,Shopping,Online,Surging in Housing and Utilities,[754681912406738],754681912406738,1
USR990MJ,False,False,False,27.53,0.74,14.14,Normal,1,3,6,6.0,72,348.4733333333333,3282.1715277777785,177421.04,9766.66,0,25660800.0,0.04,3.0,Healthy Active User,Shopping,Online,Surging in Fitness,[1691137074731657],1691137074731657,1
USR651Yc,False,False,False,5.81,0.42,3.11,Normal,1,1,1,1.0,55,287.07,332.5796363636364,3789.27,657.09,0,26611200.0,0.05,3.0,Single-Tasker,Fitness,Online,Surging in Fitness,[7402592048993814],7402592048993814,1
USR996DQ,False,False,False,11.12,1.5,6.31,Normal,1,3,6,6.0,56,73.72833333333334,418.0873214285714,4637.35,2780.27,0,25660800.0,0.05,3.0,Healthy Active User,Housing and Utilities,Mobile App,Surging in Groceries,[3183318773199775],3183318773199775,1
USR270YP,False,False,False,40.6,5.59,23.09,Normal,1,1,4,4.0,39,602.8175,12947.403076923076,297403.4,9733.0,0,25747200.0,0.08,3.0,Single-Tasker,Shopping,Mobile App,Surging in Food,[152712046592887],152712046592887,1
USR605nX,False,False,False,3.66,0.99,2.33,Normal,1,2,4,4.0,48,137.9,276.48041666666666,3212.97,9978.65,0,25574400.0,0.06,3.0,Consistent Weekly,Housing and Utilities,Online,Surging in Shopping,[8429911208608223],8429911208608223,1
USR793Ca,False,False,False,34.12,2.28,18.2,Normal,1,3,9,9.0,42,536.2122222222223,3480.886428571429,136263.44,7235.56,0,28944000.0,0.07,3.0,Healthy Active User,Shopping,In-store,Surging in Housing and Utilities,[3649178965182352],3649178965182352,1
